"Condition","Group","Organ","Query","Celltype","predicted_cell_type","match","explanation"
"All","Skin","Musculoskeletal","query","cd8-positive, alpha-beta cytotoxic t cell","Can't Identify","No Match","CD8-positive cytotoxic T cells are identifiable, but the prediction was unable to determine this."
"Group","Skin","Musculoskeletal","noquery","cd8-positive, alpha-beta cytotoxic t cell","T cells","Partial Match","Predicted type 'T cells' is a supergroup of the annotated type."
"Group","Skin","Musculoskeletal","query","cd8-positive, alpha-beta cytotoxic t cell","T cells","Partial Match","Predicted type 'T cells' is a supergroup of the annotated type."
"Organ","Skin","Musculoskeletal","noquery","cd8-positive, alpha-beta cytotoxic t cell","Cytotoxic T cells","Match","Predicted type 'Cytotoxic T cells' matches the annotated type."
"Organ","Skin","Musculoskeletal","query","cd8-positive, alpha-beta cytotoxic t cell","Cytotoxic T cells","Match","Predicted type 'Cytotoxic T cells' matches the annotated type."
"All","Skin","Musculoskeletal","noquery","cd1c-positive myeloid dendritic cell","Dendritic Cells","Partial Match","Predicted type 'Dendritic Cells' is a supergroup of the annotated type."
"All","Skin","Musculoskeletal","query","cd1c-positive myeloid dendritic cell","Dendritic Cells","Partial Match","Predicted type 'Dendritic Cells' is a supergroup of the annotated type."
"Group","Skin","Musculoskeletal","noquery","cd1c-positive myeloid dendritic cell","Langerhans Cells","No Match","Predicted type 'Langerhans Cells' does not correspond to the annotated type."
"Group","Skin","Musculoskeletal","query","cd1c-positive myeloid dendritic cell","Langerhans Cells","No Match","Predicted type 'Langerhans Cells' does not correspond to the annotated type."
"Organ","Skin","Musculoskeletal","noquery","cd1c-positive myeloid dendritic cell","Can't Identify","No Match","'Can't Identify' does not reasonably correspond to any specific cell type."
"Organ","Skin","Musculoskeletal","query","cd1c-positive myeloid dendritic cell","Can't Identify","No Match","'Can't Identify' does not reasonably correspond to any specific cell type."
"All","Skin","Musculoskeletal","noquery","endothelial cell","Can't Identify","No Match","""Can't Identify"" lacks specificity to match any type."
"All","Skin","Musculoskeletal","query","endothelial cell","Can't Identify","No Match","""Can't Identify"" lacks specificity to match any type."
"Group","Skin","Musculoskeletal","noquery","endothelial cell","Can't Identify","No Match","""Can't Identify"" lacks specificity to match any type."
"Group","Skin","Musculoskeletal","query","endothelial cell","Can't Identify","No Match","""Can't Identify"" lacks specificity to match any type."
"Organ","Skin","Musculoskeletal","noquery","endothelial cell","Endothelial cell","Match","Exact terminology and specificity match."
"Organ","Skin","Musculoskeletal","query","endothelial cell","Endothelial cell","Match","Exact terminology and specificity match."
"All","Skin","Musculoskeletal","noquery","cd4-positive, alpha-beta memory t cell","Can't Identify","No Match","""Can't Identify"" lacks specificity to match any type."
"All","Skin","Musculoskeletal","query","cd4-positive, alpha-beta memory t cell","Can't Identify","No Match","""Can't Identify"" lacks specificity to match any type."
"Group","Skin","Musculoskeletal","noquery","cd4-positive, alpha-beta memory t cell","T Cell","Partial Match","""T Cell"" is a supergroup of the specific T cell type."
"Group","Skin","Musculoskeletal","query","cd4-positive, alpha-beta memory t cell","T Cell","Partial Match","""T Cell"" is a supergroup of the specific T cell type."
"Organ","Skin","Musculoskeletal","noquery","cd4-positive, alpha-beta memory t cell","T Cell","Partial Match","Predicted cell type is broader and includes the annotated cell type within."
"Organ","Skin","Musculoskeletal","query","cd4-positive, alpha-beta memory t cell","T Cell","Partial Match","Predicted cell type is broader and includes the annotated cell type within."
"All","Skin","Musculoskeletal","noquery","nk cell","Can't Identify","No Match","Prediction fails to correspond to the specific annotated cell type."
"All","Skin","Musculoskeletal","query","nk cell","Can't Identify","No Match","Prediction fails to correspond to the specific annotated cell type."
"Group","Skin","Musculoskeletal","noquery","nk cell","Natural Killer Cells","Match","Different phrasing, but essentially the same cell type."
"Group","Skin","Musculoskeletal","query","nk cell","Natural Killer Cells","Match","Different phrasing, but essentially the same cell type."
"Organ","Skin","Musculoskeletal","noquery","nk cell","Can't Identify","No Match","Prediction fails to correspond to the specific annotated cell type."
"Organ","Skin","Musculoskeletal","query","nk cell","Can't Identify","No Match","Prediction fails to correspond to the specific annotated cell type."
"All","Skin","Musculoskeletal","noquery","naive thymus-derived cd8-positive, alpha-beta t cell","Can't Identify","No Match","Prediction fails to correspond to the specific annotated cell type."
"All","Skin","Musculoskeletal","query","naive thymus-derived cd8-positive, alpha-beta t cell","Can't Identify","No Match","Prediction fails to correspond to the specific annotated cell type."
"Group","Skin","Musculoskeletal","noquery","naive thymus-derived cd8-positive, alpha-beta t cell","Cytotoxic T Cells","Partial Match","Cytotoxic T cells generally include CD8 T cells, but ""naive"" specifies a subset."
"Group","Skin","Musculoskeletal","query","naive thymus-derived cd8-positive, alpha-beta t cell","Cytotoxic T Cells","Partial Match","Cytotoxic T cells generally include CD8 T cells, but ""naive"" specifies a subset."
"Organ","Skin","Musculoskeletal","noquery","naive thymus-derived cd8-positive, alpha-beta t cell","Natural Killer Cells","No Match","Natural Killer cells are distinct from CD8-positive T cells."
"Organ","Skin","Musculoskeletal","query","naive thymus-derived cd8-positive, alpha-beta t cell","Natural Killer Cells","No Match","Natural Killer cells are distinct from CD8-positive T cells."
"All","Skin","Musculoskeletal","noquery","naive thymus-derived cd4-positive, alpha-beta t cell","Can't Identify","No Match","The identity of CD4-positive T cells cannot be determined as ""Can't Identify""."
"All","Skin","Musculoskeletal","query","naive thymus-derived cd4-positive, alpha-beta t cell","Can't Identify","No Match","The identity of CD4-positive T cells cannot be determined as ""Can't Identify""."
"Group","Skin","Musculoskeletal","noquery","naive thymus-derived cd4-positive, alpha-beta t cell","Can't Identify","No Match","The identity of CD4-positive T cells cannot be determined as ""Can't Identify""."
"Group","Skin","Musculoskeletal","query","naive thymus-derived cd4-positive, alpha-beta t cell","Can't Identify","No Match","The identity of CD4-positive T cells cannot be determined as ""Can't Identify""."
"Organ","Skin","Musculoskeletal","noquery","naive thymus-derived cd4-positive, alpha-beta t cell","Can't Identify","No Match","The identity of CD4-positive T cells cannot be determined as ""Can't Identify""."
"Organ","Skin","Musculoskeletal","query","naive thymus-derived cd4-positive, alpha-beta t cell","Can't Identify","No Match","The identity of CD4-positive T cells cannot be determined as ""Can't Identify""."
"All","Skin","Musculoskeletal","noquery","melanocyte","Melanocytes","Match","'Melanocytes' is the plural form of 'melanocyte' and thus matches."
"All","Skin","Musculoskeletal","query","melanocyte","Melanocytes","Match","'Melanocytes' is the plural form of 'melanocyte' and thus matches."
"Group","Skin","Musculoskeletal","noquery","melanocyte","Can't Identify","No Match","'Can't Identify' does not correspond to the specific cell type 'melanocyte'."
"Group","Skin","Musculoskeletal","query","melanocyte","Can't Identify","No Match","'Can't Identify' does not correspond to the specific cell type 'melanocyte'."
"Organ","Skin","Musculoskeletal","noquery","melanocyte","Melanocytes","Match","'Melanocytes' is the plural form of 'melanocyte' and thus matches."
"Organ","Skin","Musculoskeletal","query","melanocyte","Melanocytes","Match","'Melanocytes' is the plural form of 'melanocyte' and thus matches."
"All","Skin","Musculoskeletal","noquery","regulatory t cell","T regulatory cells","Match","Different phrasing but both refer to the same cell type."
"All","Skin","Musculoskeletal","query","regulatory t cell","T regulatory cells","Match","Different phrasing but both refer to the same cell type."
"Group","Skin","Musculoskeletal","noquery","regulatory t cell","Can't Identify","No Match","'Can't Identify' does not correspond to the specific cell type 'regulatory t cell'."
"Group","Skin","Musculoskeletal","query","regulatory t cell","Can't Identify","No Match","'Can't Identify' does not correspond to the specific cell type 'regulatory t cell'."
"Organ","Skin","Musculoskeletal","noquery","regulatory t cell","Can't Identify","No Match","The prediction couldn't identify or provide any related cell type."
"Organ","Skin","Musculoskeletal","query","regulatory t cell","Can't Identify","No Match","The prediction couldn't identify or provide any related cell type."
"All","Skin","Musculoskeletal","noquery","epithelial cell","Can't Identify","No Match","The prediction couldn't identify or provide any related cell type."
"All","Skin","Musculoskeletal","query","epithelial cell","Can't Identify","No Match","The prediction couldn't identify or provide any related cell type."
"Group","Skin","Musculoskeletal","noquery","epithelial cell","Can't Identify","No Match","The prediction couldn't identify or provide any related cell type."
"Group","Skin","Musculoskeletal","query","epithelial cell","Can't Identify","No Match","The prediction couldn't identify or provide any related cell type."
"Organ","Skin","Musculoskeletal","noquery","epithelial cell","Can't Identify","No Match","The prediction couldn't identify or provide any related cell type."
"Organ","Skin","Musculoskeletal","query","epithelial cell","Can't Identify","No Match","The prediction couldn't identify or provide any related cell type."
"All","Skin","Musculoskeletal","noquery","cd4-positive helper t cells","Can't Identify","No Match","The prediction couldn't identify or provide any related cell type."
"All","Skin","Musculoskeletal","query","cd4-positive helper t cells","Can't Identify","No Match","The prediction couldn't identify or provide any related cell type."
"Group","Skin","Musculoskeletal","noquery","cd4-positive helper t cells","T cells","Partial Match","Predicted 'T cells' is a supergroup of 'cd4-positive helper t cells'."
"Group","Skin","Musculoskeletal","query","cd4-positive helper t cells","T cells","Partial Match","Predicted 'T cells' is a supergroup of 'cd4-positive helper t cells'."
"Organ","Skin","Musculoskeletal","noquery","cd4-positive helper t cells","T cells","Partial Match","Predicted 'T cells' is a supergroup of 'cd4-positive helper t cells'."
"Organ","Skin","Musculoskeletal","query","cd4-positive helper t cells","T cells","Partial Match","Predicted 'T cells' is a supergroup of 'cd4-positive helper t cells'."
"All","Skin","Musculoskeletal","noquery","langerhans cell","Langerhans cells","Match","Predicted 'Langerhans cells' refers to the same as 'langerhans cell'."
"All","Skin","Musculoskeletal","query","langerhans cell","Langerhans cells","Match","Predicted 'Langerhans cells' refers to the same as 'langerhans cell'."
"Group","Skin","Musculoskeletal","noquery","langerhans cell","Can't Identify","No Match","Prediction 'Can't Identify' does not match any specific cell type."
"Group","Skin","Musculoskeletal","query","langerhans cell","Can't Identify","No Match","Prediction 'Can't Identify' does not match any specific cell type."
"Organ","Skin","Musculoskeletal","noquery","langerhans cell","Can't Identify","No Match","Prediction 'Can't Identify' does not match any specific cell type."
"Organ","Skin","Musculoskeletal","query","langerhans cell","Can't Identify","No Match","Prediction 'Can't Identify' does not match any specific cell type."
"All","Muscle","Musculoskeletal","noquery","mesenchymal stem cell","Can't Identify","No Match","The prediction does not correspond to a specific cell type."
"All","Muscle","Musculoskeletal","query","mesenchymal stem cell","Can't Identify","No Match","The prediction does not correspond to a specific cell type."
"Group","Muscle","Musculoskeletal","noquery","mesenchymal stem cell","Can't Identify","No Match","The prediction does not correspond to a specific cell type."
"Group","Muscle","Musculoskeletal","query","mesenchymal stem cell","Can't Identify","No Match","The prediction does not correspond to a specific cell type."
"Organ","Muscle","Musculoskeletal","noquery","mesenchymal stem cell","Can't Identify","No Match","The prediction does not correspond to a specific cell type."
"Organ","Muscle","Musculoskeletal","query","mesenchymal stem cell","Can't Identify","No Match","The prediction does not correspond to a specific cell type."
"All","Muscle","Musculoskeletal","noquery","skeletal muscle satellite stem cell","Can't Identify","No Match","The prediction does not correspond to a specific cell type."
"All","Muscle","Musculoskeletal","query","skeletal muscle satellite stem cell","Can't Identify","No Match","The prediction does not correspond to a specific cell type."
"Group","Muscle","Musculoskeletal","noquery","skeletal muscle satellite stem cell","Can't Identify","No Match","The prediction does not correspond to a specific cell type."
"Group","Muscle","Musculoskeletal","query","skeletal muscle satellite stem cell","Can't Identify","No Match","The prediction does not correspond to a specific cell type."
"Organ","Muscle","Musculoskeletal","noquery","skeletal muscle satellite stem cell","Can't Identify","No Match","The prediction fails to identify any relevant cell type."
"Organ","Muscle","Musculoskeletal","query","skeletal muscle satellite stem cell","Can't Identify","No Match","The prediction fails to identify any relevant cell type."
"All","Muscle","Musculoskeletal","noquery","smooth muscle cell","Cardiac Muscle Cell","No Match","Smooth muscle cells and cardiac muscle cells are different types."
"All","Muscle","Musculoskeletal","query","smooth muscle cell","Cardiac Muscle Cell","No Match","Smooth muscle cells and cardiac muscle cells are different types."
"Group","Muscle","Musculoskeletal","noquery","smooth muscle cell","Smooth Muscle Cell","Match","The predicted cell type directly matches the actual cell type."
"Group","Muscle","Musculoskeletal","query","smooth muscle cell","Smooth Muscle Cell","Match","The predicted cell type directly matches the actual cell type."
"Organ","Muscle","Musculoskeletal","noquery","smooth muscle cell","Can't Identify","No Match","The prediction fails to identify any relevant cell type."
"Organ","Muscle","Musculoskeletal","query","smooth muscle cell","Can't Identify","No Match","The prediction fails to identify any relevant cell type."
"All","Muscle","Musculoskeletal","noquery","capillary endothelial cell","Can't Identify","No Match","The prediction fails to identify any relevant cell type."
"All","Muscle","Musculoskeletal","query","capillary endothelial cell","Can't Identify","No Match","The prediction fails to identify any relevant cell type."
"Group","Muscle","Musculoskeletal","noquery","capillary endothelial cell","Can't Identify","No Match","The prediction did not specify any cell type."
"Group","Muscle","Musculoskeletal","query","capillary endothelial cell","Can't Identify","No Match","The prediction did not specify any cell type."
"Organ","Muscle","Musculoskeletal","noquery","capillary endothelial cell","Can't Identify","No Match","The prediction did not specify any cell type."
"Organ","Muscle","Musculoskeletal","query","capillary endothelial cell","Can't Identify","No Match","The prediction did not specify any cell type."
"All","Muscle","Musculoskeletal","noquery","pericyte cell","Cardiac muscle cells","No Match","Cardiac muscle cells are unrelated to pericyte cells."
"All","Muscle","Musculoskeletal","query","pericyte cell","Cardiac muscle cells","No Match","Cardiac muscle cells are unrelated to pericyte cells."
"Group","Muscle","Musculoskeletal","noquery","pericyte cell","Can't Identify","No Match","The prediction did not specify any cell type."
"Group","Muscle","Musculoskeletal","query","pericyte cell","Can't Identify","No Match","The prediction did not specify any cell type."
"Organ","Muscle","Musculoskeletal","noquery","pericyte cell","Smooth muscle cells","Partial Match","Pericytes are functionally related to smooth muscle cells."
"Organ","Muscle","Musculoskeletal","query","pericyte cell","Smooth muscle cells","Partial Match","Pericytes are functionally related to smooth muscle cells."
"All","Muscle","Musculoskeletal","noquery","fast muscle cell","Skeletal Muscle Cells","Partial Match","""Skeletal Muscle Cells"" includes ""fast muscle cell""."
"All","Muscle","Musculoskeletal","query","fast muscle cell","Skeletal Muscle Cells","Partial Match","""Skeletal Muscle Cells"" includes ""fast muscle cell""."
"Group","Muscle","Musculoskeletal","noquery","fast muscle cell","Can't Identify","No Match","Prediction couldn't identify the specific cell type."
"Group","Muscle","Musculoskeletal","query","fast muscle cell","Can't Identify","No Match","Prediction couldn't identify the specific cell type."
"Organ","Muscle","Musculoskeletal","noquery","fast muscle cell","Can't Identify","No Match","Prediction couldn't identify the specific cell type."
"Organ","Muscle","Musculoskeletal","query","fast muscle cell","Can't Identify","No Match","Prediction couldn't identify the specific cell type."
"All","Muscle","Musculoskeletal","noquery","macrophage","Can't Identify","No Match","Prediction couldn't identify the specific cell type."
"All","Muscle","Musculoskeletal","query","macrophage","Can't Identify","No Match","Prediction couldn't identify the specific cell type."
"Group","Muscle","Musculoskeletal","noquery","macrophage","Can't Identify","No Match","Prediction couldn't identify the specific cell type."
"Group","Muscle","Musculoskeletal","query","macrophage","Can't Identify","No Match","Prediction couldn't identify the specific cell type."
"Organ","Muscle","Musculoskeletal","noquery","macrophage","Can't Identify","No Match","The prediction lacks specificity related to macrophage."
"Organ","Muscle","Musculoskeletal","query","macrophage","Can't Identify","No Match","The prediction lacks specificity related to macrophage."
"All","Muscle","Musculoskeletal","noquery","endothelial cell of vascular tree","Can't Identify","No Match","The prediction lacks specificity related to endothelial cell."
"All","Muscle","Musculoskeletal","query","endothelial cell of vascular tree","Can't Identify","No Match","The prediction lacks specificity related to endothelial cell."
"Group","Muscle","Musculoskeletal","noquery","endothelial cell of vascular tree","Can't Identify","No Match","The prediction lacks specificity related to endothelial cell."
"Group","Muscle","Musculoskeletal","query","endothelial cell of vascular tree","Can't Identify","No Match","The prediction lacks specificity related to endothelial cell."
"Organ","Muscle","Musculoskeletal","noquery","endothelial cell of vascular tree","Can't Identify","No Match","The prediction lacks specificity related to endothelial cell."
"Organ","Muscle","Musculoskeletal","query","endothelial cell of vascular tree","Can't Identify","No Match","The prediction lacks specificity related to endothelial cell."
"All","Muscle","Musculoskeletal","noquery","cd4-positive, alpha-beta t cell","Skeletal Muscle Cells","No Match","CD4-positive, alpha-beta T cells are unrelated to skeletal muscle cells."
"All","Muscle","Musculoskeletal","query","cd4-positive, alpha-beta t cell","Skeletal Muscle Cells","No Match","CD4-positive, alpha-beta T cells are unrelated to skeletal muscle cells."
"Group","Muscle","Musculoskeletal","noquery","cd4-positive, alpha-beta t cell","Can't Identify","No Match","The prediction does not specify any identifiable cell type."
"Group","Muscle","Musculoskeletal","query","cd4-positive, alpha-beta t cell","Can't Identify","No Match","The prediction does not specify any identifiable cell type."
"Organ","Muscle","Musculoskeletal","noquery","cd4-positive, alpha-beta t cell","Can't Identify","No Match","The prediction does not specify any identifiable cell type."
"Organ","Muscle","Musculoskeletal","query","cd4-positive, alpha-beta t cell","Can't Identify","No Match","The prediction does not specify any identifiable cell type."
"All","Muscle","Musculoskeletal","noquery","cd8-positive, alpha-beta t cell","Can't Identify","No Match","The prediction does not specify any identifiable cell type."
"All","Muscle","Musculoskeletal","query","cd8-positive, alpha-beta t cell","Can't Identify","No Match","The prediction does not specify any identifiable cell type."
"Group","Muscle","Musculoskeletal","noquery","cd8-positive, alpha-beta t cell","Can't Identify","No Match","The prediction does not specify any identifiable cell type."
"Group","Muscle","Musculoskeletal","query","cd8-positive, alpha-beta t cell","Can't Identify","No Match","The prediction does not specify any identifiable cell type."
"Organ","Muscle","Musculoskeletal","noquery","cd8-positive, alpha-beta t cell","Can't Identify","No Match","The prediction does not specify any identifiable cell type."
"Organ","Muscle","Musculoskeletal","query","cd8-positive, alpha-beta t cell","Can't Identify","No Match","The prediction does not specify any identifiable cell type."
"All","Muscle","Musculoskeletal","noquery","slow muscle cell","Skeletal Muscle Cells","Partial Match","Slow muscle cells are a type of skeletal muscle cell."
"All","Muscle","Musculoskeletal","query","slow muscle cell","Skeletal Muscle Cells","Partial Match","Slow muscle cells are a type of skeletal muscle cell."
"Group","Muscle","Musculoskeletal","noquery","slow muscle cell","Cardiac Muscle Cells","No Match","Cardiac muscle cells are different from slow muscle cells."
"Group","Muscle","Musculoskeletal","query","slow muscle cell","Cardiac Muscle Cells","No Match","Cardiac muscle cells are different from slow muscle cells."
"Organ","Muscle","Musculoskeletal","noquery","slow muscle cell","Cardiac Muscle Cells","No Match","Cardiac muscle cells are different from slow muscle cells."
"Organ","Muscle","Musculoskeletal","query","slow muscle cell","Cardiac Muscle Cells","No Match","Cardiac muscle cells are different from slow muscle cells."
"All","Muscle","Musculoskeletal","noquery","endothelial cell of artery","Can't Identify","No Match","The prediction does not specify a cell type akin to the annotation."
"All","Muscle","Musculoskeletal","query","endothelial cell of artery","Can't Identify","No Match","The prediction does not specify a cell type akin to the annotation."
"Group","Muscle","Musculoskeletal","noquery","endothelial cell of artery","Can't Identify","No Match","The prediction does not specify a cell type akin to the annotation."
"Group","Muscle","Musculoskeletal","query","endothelial cell of artery","Can't Identify","No Match","The prediction does not specify a cell type akin to the annotation."
"Organ","Muscle","Musculoskeletal","noquery","endothelial cell of artery","Can't Identify","No Match","The prediction does not correspond to any specific cell type."
"Organ","Muscle","Musculoskeletal","query","endothelial cell of artery","Can't Identify","No Match","The prediction does not correspond to any specific cell type."
"All","Muscle","Musculoskeletal","noquery","tendon cell","Can't Identify","No Match","The prediction does not correspond to any specific cell type."
"All","Muscle","Musculoskeletal","query","tendon cell","Can't Identify","No Match","The prediction does not correspond to any specific cell type."
"Group","Muscle","Musculoskeletal","noquery","tendon cell","Can't Identify","No Match","The prediction does not correspond to any specific cell type."
"Group","Muscle","Musculoskeletal","query","tendon cell","Can't Identify","No Match","The prediction does not correspond to any specific cell type."
"Organ","Muscle","Musculoskeletal","noquery","tendon cell","Can't Identify","No Match","The prediction does not correspond to any specific cell type."
"Organ","Muscle","Musculoskeletal","query","tendon cell","Can't Identify","No Match","The prediction does not correspond to any specific cell type."
"All","Muscle","Musculoskeletal","noquery","mature nk t cell","Can't Identify","No Match","The prediction does not correspond to any specific cell type."
"All","Muscle","Musculoskeletal","query","mature nk t cell","Can't Identify","No Match","The prediction does not correspond to any specific cell type."
"Group","Muscle","Musculoskeletal","noquery","mature nk t cell","Can't Identify","No Match","The prediction fails to identify any cell type, not corresponding to the specific annotation."
"Group","Muscle","Musculoskeletal","query","mature nk t cell","Can't Identify","No Match","The prediction fails to identify any cell type, not corresponding to the specific annotation."
"Organ","Muscle","Musculoskeletal","noquery","mature nk t cell","Can't Identify","No Match","The prediction fails to identify any cell type, not corresponding to the specific annotation."
"Organ","Muscle","Musculoskeletal","query","mature nk t cell","Can't Identify","No Match","The prediction fails to identify any cell type, not corresponding to the specific annotation."
"All","Muscle","Musculoskeletal","noquery","t cell","Can't Identify","No Match","The prediction fails to identify any cell type, not aligning with the general cell type annotation."
"All","Muscle","Musculoskeletal","query","t cell","Can't Identify","No Match","The prediction fails to identify any cell type, not aligning with the general cell type annotation."
"Group","Muscle","Musculoskeletal","noquery","t cell","Can't Identify","No Match","The prediction fails to identify any cell type, not aligning with the general cell type annotation."
"Group","Muscle","Musculoskeletal","query","t cell","Can't Identify","No Match","The prediction fails to identify any cell type, not aligning with the general cell type annotation."
"Organ","Muscle","Musculoskeletal","noquery","t cell","Can't Identify","No Match","The prediction fails to identify any cell type, not aligning with the general cell type annotation."
"Organ","Muscle","Musculoskeletal","query","t cell","Can't Identify","No Match","The prediction fails to identify any cell type, not aligning with the general cell type annotation."
"All","Muscle","Musculoskeletal","noquery","endothelial cell of lymphatic vessel","Can't Identify","No Match","The prediction does not identify or correspond to a specific cell type."
"All","Muscle","Musculoskeletal","query","endothelial cell of lymphatic vessel","Can't Identify","No Match","The prediction does not identify or correspond to a specific cell type."
"Group","Muscle","Musculoskeletal","noquery","endothelial cell of lymphatic vessel","Can't Identify","No Match","The prediction does not identify or correspond to a specific cell type."
"Group","Muscle","Musculoskeletal","query","endothelial cell of lymphatic vessel","Can't Identify","No Match","The prediction does not identify or correspond to a specific cell type."
"Organ","Muscle","Musculoskeletal","noquery","endothelial cell of lymphatic vessel","Can't Identify","No Match","The prediction does not identify or correspond to a specific cell type."
"Organ","Muscle","Musculoskeletal","query","endothelial cell of lymphatic vessel","Can't Identify","No Match","The prediction does not identify or correspond to a specific cell type."
"All","Vasculature","UroCardiac","noquery","fibroblast","Can't Identify","No Match","The prediction does not identify or correspond to a specific cell type."
"All","Vasculature","UroCardiac","query","fibroblast","Can't Identify","No Match","The prediction does not identify or correspond to a specific cell type."
"Group","Vasculature","UroCardiac","noquery","fibroblast","Can't Identify","No Match","The prediction does not identify or correspond to a specific cell type."
"Group","Vasculature","UroCardiac","query","fibroblast","Can't Identify","No Match","The prediction does not identify or correspond to a specific cell type."
"Organ","Vasculature","UroCardiac","noquery","fibroblast","Can't Identify","No Match","The prediction does not specify a cell type."
"Organ","Vasculature","UroCardiac","query","fibroblast","Can't Identify","No Match","The prediction does not specify a cell type."
"All","Vasculature","UroCardiac","noquery","macrophage","Dendritic Cells","Partial Match","Dendritic cells and macrophages are both antigen-presenting cells."
"All","Vasculature","UroCardiac","query","macrophage","Dendritic Cells","Partial Match","Dendritic cells and macrophages are both antigen-presenting cells."
"Group","Vasculature","UroCardiac","noquery","macrophage","Microglia","Partial Match","Microglia are a type of macrophage-like cell in the central nervous system."
"Group","Vasculature","UroCardiac","query","macrophage","Microglia","Partial Match","Microglia are a type of macrophage-like cell in the central nervous system."
"Organ","Vasculature","UroCardiac","noquery","macrophage","Can't Identify","No Match","The prediction does not specify a cell type."
"Organ","Vasculature","UroCardiac","query","macrophage","Can't Identify","No Match","The prediction does not specify a cell type."
"All","Vasculature","UroCardiac","noquery","smooth muscle cell","Can't Identify","No Match","The prediction does not specify a cell type."
"All","Vasculature","UroCardiac","query","smooth muscle cell","Can't Identify","No Match","The prediction does not specify a cell type."
"Group","Vasculature","UroCardiac","noquery","smooth muscle cell","Can't Identify","No Match","The prediction does not identify the annotated cell type."
"Group","Vasculature","UroCardiac","query","smooth muscle cell","Can't Identify","No Match","The prediction does not identify the annotated cell type."
"Organ","Vasculature","UroCardiac","noquery","smooth muscle cell","Can't Identify","No Match","The prediction does not identify the annotated cell type."
"Organ","Vasculature","UroCardiac","query","smooth muscle cell","Can't Identify","No Match","The prediction does not identify the annotated cell type."
"All","Vasculature","UroCardiac","noquery","pericyte cell","Endothelial Cells","No Match","Endothelial cells are a different cell type from pericytes despite both being vascular cells."
"All","Vasculature","UroCardiac","query","pericyte cell","Endothelial Cells","No Match","Endothelial cells are a different cell type from pericytes despite both being vascular cells."
"Group","Vasculature","UroCardiac","noquery","pericyte cell","Can't Identify","No Match","The prediction does not identify the annotated cell type."
"Group","Vasculature","UroCardiac","query","pericyte cell","Can't Identify","No Match","The prediction does not identify the annotated cell type."
"Organ","Vasculature","UroCardiac","noquery","pericyte cell","Smooth Muscle Cells","Partial Match","Pericytes are closely related to smooth muscle cells and often share functional properties."
"Organ","Vasculature","UroCardiac","query","pericyte cell","Smooth Muscle Cells","Partial Match","Pericytes are closely related to smooth muscle cells and often share functional properties."
"All","Vasculature","UroCardiac","noquery","vein or capillary endothelial cell","Can't Identify","No Match","Prediction does not identify the endothelial cell type."
"All","Vasculature","UroCardiac","query","vein or capillary endothelial cell","Can't Identify","No Match","Prediction does not identify the endothelial cell type."
"Group","Vasculature","UroCardiac","noquery","vein or capillary endothelial cell","Can't Identify","No Match","Prediction does not identify the endothelial cell type."
"Group","Vasculature","UroCardiac","query","vein or capillary endothelial cell","Can't Identify","No Match","Prediction does not identify the endothelial cell type."
"Organ","Vasculature","UroCardiac","noquery","vein or capillary endothelial cell","Can't Identify","No Match","Prediction does not identify the endothelial cell type."
"Organ","Vasculature","UroCardiac","query","vein or capillary endothelial cell","Can't Identify","No Match","Prediction does not identify the endothelial cell type."
"All","Vasculature","UroCardiac","noquery","artery endothelial cell","Smooth Muscle Cells","No Match","Smooth muscle cells are distinct from endothelial cells."
"All","Vasculature","UroCardiac","query","artery endothelial cell","Smooth Muscle Cells","No Match","Smooth muscle cells are distinct from endothelial cells."
"Group","Vasculature","UroCardiac","noquery","artery endothelial cell","Can't Identify","No Match","Prediction does not identify the endothelial cell type."
"Group","Vasculature","UroCardiac","query","artery endothelial cell","Can't Identify","No Match","Prediction does not identify the endothelial cell type."
"Organ","Vasculature","UroCardiac","noquery","artery endothelial cell","Endothelial Cells","Partial Match","Predicted type is a broader category of the annotated type."
"Organ","Vasculature","UroCardiac","query","artery endothelial cell","Endothelial Cells","Partial Match","Predicted type is a broader category of the annotated type."
"All","Vasculature","UroCardiac","noquery","t cell","T Cells","Match","Both terms refer to the same cell type."
"All","Vasculature","UroCardiac","query","t cell","T Cells","Match","Both terms refer to the same cell type."
"Group","Vasculature","UroCardiac","noquery","t cell","T Cells","Match","Both terms refer to the same cell type."
"Group","Vasculature","UroCardiac","query","t cell","Can't Identify","No Match","The prediction does not identify the annotated cell type."
"Organ","Vasculature","UroCardiac","noquery","t cell","T Cells","Match","Both terms refer to the same cell type."
"Organ","Vasculature","UroCardiac","query","t cell","T Cells","Match","Both terms refer to the same cell type."
"All","Vasculature","UroCardiac","noquery","mast cell","Mast Cells","Match","Both terms refer to the same cell type."
"All","Vasculature","UroCardiac","query","mast cell","Mast Cells","Match","Both terms refer to the same cell type."
"Group","Vasculature","UroCardiac","noquery","mast cell","Can't Identify","No Match","The predicted cell type does not provide sufficient information for a match."
"Group","Vasculature","UroCardiac","query","mast cell","Can't Identify","No Match","The predicted cell type does not provide sufficient information for a match."
"Organ","Vasculature","UroCardiac","noquery","mast cell","Can't Identify","No Match","The predicted cell type does not provide sufficient information for a match."
"Organ","Vasculature","UroCardiac","query","mast cell","Can't Identify","No Match","The predicted cell type does not provide sufficient information for a match."
"All","Vasculature","UroCardiac","noquery","erythrocyte","Erythrocytes","Match","Both refer to mature red blood cells."
